Titulares
Resumen por provincias; catastro y titulares
Unidades:provincias


,Urbano,,,,,,,,,,Rústico,,,,,,,,,,Urbano/Rústico,,,,,,,,,,
,Total,1 bien,2 bienes,3 bienes,4 bienes,5 bienes,6 a 10 bienes,11 a 25 bienes,26 a 50 bienes,Más de 50 bienes,Total,1 bien,2 bienes,3 bienes,4 bienes,5 bienes,6 a 10 bienes,11 a 25 bienes,26 a 50 bienes,Más de 50 bienes,Total,1 bien,2 bienes,3 bienes,4 bienes,5 bienes,6 a 10 bienes,11 a 25 bienes,26 a 50 bienes,Más de 50 bienes,
02 Albacete,"279.707","159.249","63.189","27.821","13.150","6.349","8.088","1.544","206","111","140.258","59.918","24.338","13.531","9.255","6.329","15.263","9.114","1.839","671","350.585","167.378","68.655","35.260","21.055","13.190","27.664","14.023","2.504","856",
03 Alicante,"1.531.497","928.644","318.697","132.558","63.235","31.483","44.728","10.172","1.211","769","203.902","121.611","35.832","15.458","9.069","5.522","11.055","4.624","508","223","1.595.022","925.248","325.611","142.196","73.183","39.801","65.527","20.151","2.310","995",
04 Almería,"438.580","244.394","100.392","42.607","20.832","10.621","15.289","3.485","555","405","147.427","68.548","27.510","14.364","9.241","6.015","13.500","6.918","1.015","316","506.966","248.005","109.396","51.412","29.347","17.725","34.557","13.842","1.915","767",
05 Ávila,"232.082","133.356","48.733","23.081","11.862","5.800","7.768","1.254","132","96","151.688","53.887","23.084","14.694","10.704","8.220","21.631","14.939","3.332","1.197","302.490","135.359","50.154","27.755","17.690","12.626","31.697","21.248","4.513","1.448",
06 Badajoz,"471.270","289.093","101.579","41.732","18.178","8.502","10.020","1.717","262","187","167.331","71.543","29.711","16.340","11.001","7.654","18.201","10.585","1.709","587","522.318","265.616","99.401","52.342","30.039","18.362","36.215","16.976","2.564","803",
07 Balears (Illes),"581.626","327.481","120.193","57.479","28.589","15.445","23.972","6.953","1.002","512","167.991","103.209","31.610","12.656","7.115","3.975","7.153","2.041","145","87","651.494","340.124","134.369","66.740","36.458","21.184","37.653","12.817","1.535","614",
08 Barcelona,"2.794.685","1.597.809","632.648","276.422","124.520","60.217","79.156","19.434","2.891","1.588","90.768","51.001","15.577","7.112","4.034","2.643","5.539","3.602","828","432","2.824.184","1.596.504","636.150","280.933","128.695","63.657","87.276","24.788","4.142","2.039",
09 Burgos,"347.689","156.086","78.421","44.841","25.933","14.633","23.040","4.214","321","200","248.980","79.633","36.102","22.062","15.848","11.934","35.016","31.569","10.908","5.908","480.862","179.587","85.265","49.622","30.981","20.497","51.816","42.270","13.786","7.038",
10 Cáceres,"354.085","197.855","79.487","37.463","18.006","8.689","10.700","1.620","176","89","184.329","75.429","31.738","18.089","12.446","8.724","21.500","13.115","2.546","742","424.373","188.577","80.265","45.744","27.594","17.972","39.232","20.456","3.588","945",
11 Cádiz,"746.342","475.737","153.159","58.896","25.905","12.120","15.977","3.756","470","322","80.989","55.501","13.683","4.803","2.489","1.391","2.283","745","54","40","772.282","471.559","160.110","65.879","31.098","15.390","21.711","5.545","639","351",
12 Castellón,"475.993","236.465","111.964","57.649","28.649","14.885","21.262","4.290","480","349","183.436","83.456","28.705","15.632","11.201","7.875","20.312","13.301","2.358","596","558.704","256.631","112.958","60.606","33.540","20.547","44.837","24.430","4.073","1.082",
13 Ciudad Real,"373.965","219.848","83.459","35.427","16.064","7.530","9.420","1.813","241","163","155.534","63.289","26.308","14.641","10.341","7.255","18.883","11.948","2.214","655","430.615","206.408","83.124","43.210","25.306","16.162","34.017","18.292","3.187","909",
14 Córdoba,"503.751","278.033","116.398","52.232","25.073","12.354","15.853","3.247","346","215","130.541","60.381","24.556","13.002","8.718","5.567","12.285","5.157","682","193","536.729","261.906","113.177","57.966","33.182","19.826","36.069","12.650","1.510","443",
15 Coruña (A),"747.485","432.122","157.263","71.244","35.632","18.293","26.351","5.725","561","294","521.698","210.447","77.644","44.346","30.606","22.341","61.337","50.697","17.588","6.692","1.008.436","451.610","176.510","93.518","58.349","38.393","93.537","67.291","21.210","8.018",
16 Cuenca,"222.986","130.425","50.258","20.764","9.845","4.716","5.784","985","130","79","193.147","61.172","28.200","17.670","12.694","9.658","27.294","23.796","8.378","4.285","321.963","130.565","52.133","28.303","18.784","13.395","35.365","28.987","9.682","4.749",
17 Girona,"556.493","335.494","122.427","47.164","20.988","10.545","14.870","4.112","584","309","73.545","36.694","13.122","6.281","3.946","2.659","6.163","3.644","733","303","581.099","331.154","126.042","50.993","24.324","13.392","23.306","9.576","1.649","663",
18 Granada,"620.559","343.243","135.956","62.064","31.358","16.667","24.589","5.588","736","358","208.210","95.689","39.637","21.440","13.799","9.104","19.321","7.960","954","306","706.930","340.227","143.885","75.011","44.535","27.851","53.495","19.094","2.127","705",
19 Guadalajara,"254.260","158.486","47.638","21.828","11.040","5.791","7.659","1.416","221","181","155.428","46.525","18.660","11.399","8.560","6.653","21.249","24.830","10.918","6.634","342.733","169.288","49.388","24.412","14.549","9.926","26.783","28.641","12.375","7.371",
21 Huelva,"368.582","223.396","78.890","32.368","15.237","7.327","9.236","1.655","245","228","70.534","36.676","13.025","6.303","3.872","2.458","5.392","2.368","300","140","392.827","219.352","81.269","36.944","19.628","10.861","17.997","5.720","698","358",
22 Huesca,"206.762","107.243","48.851","25.003","11.019","5.529","7.434","1.403","178","102","86.967","32.096","13.154","7.458","5.127","3.909","10.902","10.224","3.172","925","238.960","101.316","48.821","27.212","13.945","8.817","19.597","13.942","4.129","1.181",
23 Jaén,"451.431","256.081","102.180","44.952","20.999","10.614","13.481","2.635","303","186","203.679","82.652","38.800","22.728","15.293","10.713","23.352","9.145","807","189","530.852","245.979","103.493","56.633","34.240","22.811","47.149","18.518","1.654","375",
24 León,"433.342","201.003","105.610","51.860","29.398","16.043","24.031","4.784","401","212","348.505","104.870","47.262","29.974","22.580","17.650","52.450","49.230","16.757","7.732","595.987","208.206","102.500","55.328","36.941","26.038","72.779","64.289","20.754","9.152",
