date,value
2012-11-11,68
2012-11-18,60
2012-11-25,60
2012-12-02,61
2012-12-09,63
2012-12-16,66
2012-12-23,100
2012-12-30,66
2013-01-06,78
2013-01-13,71
2013-01-20,67
2013-01-27,62
2013-02-03,59
2013-02-10,57
2013-02-17,62
2013-02-24,61
2013-03-03,59
2013-03-10,57
2013-03-17,57
2013-03-24,59
2013-03-31,58
2013-04-07,60
2013-04-14,53
2013-04-21,55
2013-04-28,58
2013-05-05,51
2013-05-12,53
2013-05-19,52
2013-05-26,56
2013-06-02,51
2013-06-09,51
2013-06-16,54
2013-06-23,56
2013-06-30,57
2013-07-07,57
2013-07-14,58
2013-07-21,53
2013-07-28,59
2013-08-04,62
2013-08-11,56
2013-08-18,55
2013-08-25,54
2013-09-01,53
2013-09-08,56
2013-09-15,54
2013-09-22,56
2013-09-29,52
2013-10-06,56
2013-10-13,57
2013-10-20,56
2013-10-27,51
2013-11-03,51
2013-11-10,55
2013-11-17,51
2013-11-24,53
2013-12-01,48
2013-12-08,48
2013-12-15,51
2013-12-22,80
2013-12-29,61
2014-01-05,66
2014-01-12,57
2014-01-19,57
2014-01-26,57
2014-02-02,53
2014-02-09,50
2014-02-16,51
2014-02-23,55
2014-03-02,53
2014-03-09,46
2014-03-16,52
2014-03-23,47
2014-03-30,47
2014-04-06,45
2014-04-13,47
2014-04-20,50
2014-04-27,49
2014-05-04,43
2014-05-11,45
2014-05-18,44
2014-05-25,47
2014-06-01,47
2014-06-08,40
2014-06-15,42
2014-06-22,44
2014-06-29,45
2014-07-06,44
2014-07-13,45
2014-07-20,50
2014-07-27,49
2014-08-03,43
2014-08-10,49
2014-08-17,48
2014-08-24,54
2014-08-31,50
2014-09-07,46
2014-09-14,49
2014-09-21,48
2014-09-28,48
2014-10-05,48
2014-10-12,46
2014-10-19,44
2014-10-26,47
2014-11-02,43
2014-11-09,43
2014-11-16,42
2014-11-23,48
2014-11-30,44
2014-12-07,46
2014-12-14,51
2014-12-21,65
2014-12-28,54
2015-01-04,61
2015-01-11,53
2015-01-18,51
2015-01-25,49
2015-02-01,44
2015-02-08,43
2015-02-15,46
2015-02-22,43
2015-03-01,43
2015-03-08,42
2015-03-15,43
2015-03-22,45
2015-03-29,49
2015-04-05,43
2015-04-12,42
2015-04-19,40
2015-04-26,44
2015-05-03,38
2015-05-10,43
2015-05-17,40
2015-05-24,39
2015-05-31,39
2015-06-07,41
2015-06-14,37
2015-06-21,39
2015-06-28,42
2015-07-05,44
2015-07-12,43
2015-07-19,41
2015-07-26,44
2015-08-02,44
2015-08-09,47
2015-08-16,45
2015-08-23,41
2015-08-30,42
2015-09-06,40
2015-09-13,40
2015-09-20,44
2015-09-27,42
2015-10-04,39
2015-10-11,42
2015-10-18,40
2015-10-25,43
2015-11-01,41
2015-11-08,40
2015-11-15,35
2015-11-22,35
2015-11-29,36
2015-12-06,36
2015-12-13,42
2015-12-20,53
2015-12-27,47
2016-01-03,53
2016-01-10,38
2016-01-17,44
2016-01-24,35
2016-01-31,36
2016-02-07,37
2016-02-14,34
2016-02-21,38
2016-02-28,35
2016-03-06,35
2016-03-13,33
2016-03-20,35
2016-03-27,33
2016-04-03,33
2016-04-10,36
2016-04-17,34
2016-04-24,32
2016-05-01,33
2016-05-08,33
2016-05-15,33
2016-05-22,35
2016-05-29,30
2016-06-05,31
2016-06-12,29
2016-06-19,32
2016-06-26,33
2016-07-03,34
2016-07-10,34
2016-07-17,35
2016-07-24,35
2016-07-31,30
2016-08-07,30
2016-08-14,29
2016-08-21,31
2016-08-28,33
2016-09-04,32
2016-09-11,28
2016-09-18,29
2016-09-25,31
2016-10-02,30
2016-10-09,34
2016-10-16,31
2016-10-23,29
2016-10-30,32
2016-11-06,28
2016-11-13,29
2016-11-20,27
2016-11-27,31
2016-12-04,30
2016-12-11,30
2016-12-18,35
2016-12-25,38
2017-01-01,36
2017-01-08,36
2017-01-15,33
2017-01-22,30
2017-01-29,33
2017-02-05,29
2017-02-12,29
2017-02-19,31
2017-02-26,31
2017-03-05,28
2017-03-12,28
2017-03-19,29
2017-03-26,26
2017-04-02,27
2017-04-09,25
2017-04-16,26
2017-04-23,26
2017-04-30,25
2017-05-07,27
2017-05-14,25
2017-05-21,27
2017-05-28,27
2017-06-04,23
2017-06-11,25
2017-06-18,21
2017-06-25,27
2017-07-02,24
2017-07-09,26
2017-07-16,24
2017-07-23,24
2017-07-30,25
2017-08-06,25
2017-08-13,27
2017-08-20,24
2017-08-27,23
2017-09-03,26
2017-09-10,24
2017-09-17,23
2017-09-24,25
2017-10-01,23
2017-10-08,24
2017-10-15,24
2017-10-22,24
2017-10-29,23
2017-11-05,25
